IncidentNum,Date,Time,Mode,Injury,Depth,Species,Longitude,Latitude
1,10/08/1950,12:00,Swimming,major,surface,White,-117.1466667,32.58833333
2,05/27/1952,14:00,Swimming,minor,surface,White,-117.2466667,32.58833333
3,12/07/1952,14:00,Swimming,fatal,surface,White,-122.05,36.62666667
4,02/06/1955,12:00,Freediving,minor,surface,White,-122.15,36.62666667
5,08/14/1956,16:30,Swimming,major,surface,White,-120.6466667,35.13833333
6,04/28/1957,13:30,Swimming,fatal,surface,White,-120.875,35.40333333
7,10/12/1958,Unknown,Swimming,major,surface,White,-117.2166667,32.685
8,05/07/1959,17:30,Swimming,fatal,surface,White,-122.4836,37.7936
9,06/14/1959,17:00,Freediving,fatal,surface,White,-117.28,32.855
10,07/28/1959,19:30,Freediving,minor,surface,Hammerhead,-117.38,32.855
11,10/04/1959,15:00,Freediving,none,surface,White,-123.0466667,38.295
12,11/10/1959,10:30,Freediving,minor,surface,Blue,-118.7833333,34.01833333
13,04/24/1960,14:00,Freediving,minor,surface,White,-122.965,38.18166667
14,05/19/1960,13:00,Swimming,major,surface,White,-122.095,36.96
15,05/21/1961,8:30,Freediving,none,25,White,-123.065,38.18166667
16,08/20/1961,9:30,Swimming,major,surface,White,-123.0766667,38.35833333
17,01/14/1962,10:30,Scuba Diving,major,surface,White,-123.0316667,37.72
18,11/11/1962,12:45,Scuba Diving,major,surface,White,-123.1316667,37.72
19,01/11/1964,12:00,Scuba Diving,major,surface,White,-123.2316667,37.72
20,01/22/1966,11:00,Freediving,major,surface,White,-122.0423722,36.58333333
21,07/27/1968,11:00,Freediving,major,20,White,-123.1466667,38.295
NOT COUNTED,07/20/1969,,Freediving,minor*,surface*,Killer Whale,-122.4083333,37.19166667
23,09/06/1969,11:20,Freediving,major,surface,White,-123.165,38.18166667
24,07/19/1971,Unknown,Hookah Diving,major,20,White,-120.6416667,34.75833333
25,10/02/1971,14:00,Scuba Diving,major,15,White,-123.43,38.66666667
26,05/28/1972,13:30,Freediving,major,surface,White,-123.265,38.18166667
NOT COUNTED,09/09/1972,,Surfing / Boarding,major*,surface*,Killer Whale,-121.8966667,36.31333333
28,05/26/1974,11:30,Freediving,major,surface,White,-123.365,38.18166667
29,07/26/1974,Unknown,Freediving,minor,25,White,-123.7766667,39.22833333
30,08/05/1974,Unknown,Surfing / Boarding,minor,surface,White,-122.4083333,37.32333333
31,09/02/1974,17:30,Scuba Diving,minor,surface,White,-122.3666667,37.15
32,09/02/1974,17:30,Scuba Diving,minor,surface,White,-122.4666667,37.15
33,09/14/1974,13:35,Hookah Diving,major,28,White,-123.3316667,37.72
34,09/28/1974,7:30,Surfing / Boarding,major,surface,White,-121.9966667,36.31333333
